trial_nr	onset	event_type	phase	response	nr_frames	condition	fix_color_changetime	onset_abs	duration
32	349.33186215299986	stim	1		90	right	1.344183799000877	416.02826413599985	0.7500221660000079
33	350.08188431899987	iti	0		472	right	0.6387369717807438	416.77828630199986	3.933389087000023
33	353.85705332099985	response	0	b		right	0.6387369717807438	420.55345530399984	
33	354.0152734059999	stim	1		90	right	0.6387369717807438	420.7116753889999	0.7500193739999759
34	354.76529277999987	iti	0		1337	left	4.500188555124498	421.46169476299985	11.141856818000178
34	361.8571957779999	response	0	b		left	4.500188555124498	428.5535977609999	
34	363.5488861979999	pulse	0	t		left	4.500188555124498	430.24528818099986	
34	365.90714959800005	stim	1		90	left	4.500188555124498	432.60355158100003	0.750014912999859
35	366.6571645109999	iti	0		615	left	2.786751117791877	433.3535664939999	5.125125537000031
35	369.432315229	response	0	b		left	2.786751117791877	436.12871721199997	
35	371.78229004799994	stim	1		90	left	2.786751117791877	438.4786920309999	0.7499672480000754
36	372.532257296	iti	0		547	right	0.6778504808133168	439.228659279	4.558405540999956
36	376.9074429849999	response	0	b		right	0.6778504808133168	443.60384496799986	
36	377.09066283699997	stim	1		90	right	0.6778504808133168	443.78706481999996	0.750037834000068
37	377.84070067100004	iti	0		827	left	2.7254279407654947	444.537102654	6.891763515999855
37	382.46588339799985	response	0	b		left	2.7254279407654947	449.16228538099983	
37	384.7324641869999	stim	1		90	left	2.7254279407654947	451.4288661699999	0.7500157780000336
38	385.4824799649999	iti	0		583	left	5.1269537941812775	452.1788819479999	4.858418961000098
38	386.09097821199987	response	0	b		left	5.1269537941812775	452.78738019499986	
38	390.340898926	stim	1		90	left	5.1269537941812775	457.037300909	0.7500200259999019
39	391.0909189519999	iti	0		361	right	0.4546118496262008	457.7873209349999	3.0083685090000927
39	394.099287461	stim	1		90	right	0.4546118496262008	460.795689444	0.7500063200000113
39	394.157768637	response	1	b		right	0.4546118496262008	460.85417062	
40	394.84929378100003	iti	0		716	left	3.6335204357774655	461.545695764	5.9667643819998375
40	397.56612880599994	response	0	b		left	3.6335204357774655	464.2625307889999	
40	400.81605816299987	stim	1		90	left	3.6335204357774655	467.51246014599985	0.7500114340000437
41	401.5660695969999	iti	0		505	right	2.541095017537545	468.2624715799999	4.208414543000117
41	403.68289166199986	response	0	b		right	2.541095017537545	470.37929364499985	
41	405.77448414	stim	1		90	right	2.541095017537545	472.470886123	0.7500421459999416
42	406.52452628599997	stim	0		3012			473.22092826899996	25.108718741000075
