trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
75	160.73089408874512	stim	0		30	vertical	336.8082709312439	0.24997997283935547
76	160.98087406158447	stim	0		30	vertical	337.05825090408325	0.2500648498535156
76	161.07269191741943	pulse	0	t		vertical	337.1500687599182	
77	161.230938911438	stim	0		30	vertical	337.30831575393677	0.2500731945037842
78	161.48101210594177	stim	0		30	vertical	337.55838894844055	0.2500319480895996
79	161.73104405403137	stim	0		30	vertical	337.80842089653015	0.2500019073486328
80	161.98104596138	stim	0		30	vertical	338.0584228038788	0.25005412101745605
80	162.1811239719391	pulse	0	t		vertical	338.25850081443787	
81	162.23110008239746	stim	0		30	vertical	338.30847692489624	0.2500579357147217
82	162.48115801811218	stim	0		30	vertical	338.55853486061096	0.25005602836608887
83	162.73121404647827	stim	0		30	vertical	338.80859088897705	0.24989891052246094
84	162.98111295700073	stim	0		30	vertical	339.0584897994995	0.2502250671386719
85	163.2313380241394	stim	0		30	vertical	339.3087148666382	0.24977803230285645
85	163.28962206840515	pulse	0	t		vertical	339.36699891090393	
86	163.48111605644226	stim	0		30	vertical	339.55849289894104	0.25001001358032227
87	163.73112607002258	stim	0		30	vertical	339.80850291252136	0.2500789165496826
88	163.98120498657227	stim	0		30	vertical	340.05858182907104	0.24994397163391113
89	164.23114895820618	stim	0		30	vertical	340.30852580070496	0.2499220371246338
89	164.23398804664612	response	0	b		vertical	340.3113648891449	
89	164.40626192092896	pulse	0	t		vertical	340.48363876342773	
90	164.4810709953308	stim	0		30	vertical	340.5584478378296	0.2500879764556885
91	164.7311589717865	stim	0		30	vertical	340.8085358142853	0.24994206428527832
92	164.98110103607178	stim	0		30	vertical	341.05847787857056	0.2500739097595215
93	165.2311749458313	stim	0		30	vertical	341.3085517883301	0.24994707107543945
94	165.48112201690674	stim	0		30	vertical	341.5584988594055	0.25006604194641113
94	165.5146610736847	pulse	0	t		vertical	341.5920379161835	
95	165.73118805885315	stim	0		30	vertical	341.80856490135193	0.24996399879455566
96	165.9811520576477	stim	0		30	vertical	342.0585289001465	0.250032901763916
97	166.23118495941162	stim	0		30	vertical	342.3085618019104	0.24996709823608398
98	166.4811520576477	stim	0		30	vertical	342.5585289001465	0.2501349449157715
98	166.62447690963745	pulse	0	t		vertical	342.70185375213623	
99	166.73128700256348	stim	0		30	vertical	342.80866384506226	0.24988889694213867
100	166.98117589950562	stim	0		30	vertical	343.0585527420044	0.25005412101745605
101	167.23123002052307	stim	0		30	vertical	343.30860686302185	0.24984097480773926
102	167.4810709953308	stim	0		30	vertical	343.5584478378296	0.2500319480895996
102	167.61605596542358	response	0	b		vertical	343.69343280792236	
103	167.7311029434204	stim	0		30	vertical	343.8084797859192	0.24999499320983887
103	167.73944902420044	pulse	0	t		vertical	343.8168258666992	
104	167.98109793663025	stim	0		30	vertical	344.058474779129	0.2499690055847168
105	168.23106694221497	stim	0		30	vertical	344.30844378471375	0.25
106	168.48106694221497	stim	0		30	vertical	344.55844378471375	0.2500030994415283
107	168.7310700416565	stim	0		30	vertical	344.8084468841553	0.25008606910705566
107	168.84783411026	pulse	0	t		vertical	344.9252109527588	
108	168.98115611076355	stim	0		30	vertical	345.05853295326233	0.2499709129333496
109	169.2311270236969	stim	0		30	vertical	345.3085038661957	0.2499089241027832
110	169.48103594779968	stim	0		30	vertical	345.55841279029846	0.25008296966552734
111	169.7311189174652	stim	0		30	vertical	345.808495759964	0.24996709823608398
111	169.96469402313232	pulse	0	t		vertical	346.0420708656311	
112	169.9810860157013	stim	0		30	vertical	346.0584628582001	0.2500019073486328
113	170.23108792304993	stim	0		30	vertical	346.3084647655487	0.25002408027648926
113	170.3811550140381	response	0	b		vertical	346.45853185653687	
114	170.48111200332642	stim	0		30	vertical	346.5584888458252	0.24997401237487793
115	170.7310860157013	stim	0		30	vertical	346.8084628582001	0.25000905990600586
116	170.9810950756073	stim	0		30	vertical	347.0584719181061	0.2500150203704834
116	171.07282710075378	pulse	0	t		vertical	347.15020394325256	
117	171.23111009597778	stim	0		30	vertical	347.30848693847656	0.2499558925628662
118	171.48106598854065	stim	0		30	vertical	347.55844283103943	0.24999690055847168
119	171.73106288909912	stim	0		30	vertical	347.8084397315979	0.25005006790161133
120	171.98111295700073	stim	0		30	vertical	348.0584897994995	0.249953031539917
120	172.18120908737183	pulse	0	t		vertical	348.2585859298706	
121	172.23106598854065	stim	0		30	vertical	348.30844283103943	0.2499680519104004
122	172.48103404045105	stim	0		30	vertical	348.55841088294983	0.2500748634338379
123	172.7311089038849	stim	0		1800	blank	348.80848574638367	14.999919176101685
123	173.29790091514587	pulse	0	t		blank	349.37527775764465	
123	174.40617489814758	pulse	0	t		blank	350.48355174064636	
123	174.7645139694214	response	0	b		blank	350.84189081192017	
123	175.51568007469177	pulse	0	t		blank	351.59305691719055	
123	176.63101506233215	pulse	0	t		blank	352.70839190483093	
123	177.73944401741028	pulse	0	t		blank	353.81682085990906	
123	178.85617589950562	pulse	0	t		blank	354.9335527420044	
123	179.1073338985443	response	0	b		blank	355.1847107410431	
123	179.96451091766357	pulse	0	t		blank	356.04188776016235	
123	181.0739459991455	pulse	0	t		blank	357.1513228416443	
123	182.1894509792328	pulse	0	t		blank	358.26682782173157	
123	182.60615992546082	response	0	b		blank	358.6835367679596	
123	183.2977900505066	pulse	0	t		blank	359.37516689300537	
123	184.40721797943115	pulse	0	t		blank	360.48459482192993	
123	185.31566905975342	response	0	b		blank	361.3930459022522	
123	185.52278399467468	pulse	0	t		blank	361.60016083717346	
123	186.63118290901184	pulse	0	t		blank	362.7085597515106	
124	187.73102807998657	stim	0		30	horizontal	363.80840492248535	0.24998688697814941
124	187.74783897399902	pulse	0	t		horizontal	363.8252158164978	
125	187.98101496696472	stim	0		30	horizontal	364.0583918094635	0.25002193450927734
126	188.231036901474	stim	0		30	horizontal	364.3084137439728	0.2500321865081787
127	188.48106908798218	stim	0		30	horizontal	364.55844593048096	0.24994182586669922
128	188.73101091384888	stim	0		30	horizontal	364.80838775634766	0.25002503395080566
128	188.85620403289795	pulse	0	t		horizontal	364.93358087539673	
129	188.98103594779968	stim	0		30	horizontal	365.05841279029846	0.249985933303833
130	189.23102188110352	stim	0		30	horizontal	365.3083987236023	0.24998211860656738
131	189.48100399971008	stim	0		30	horizontal	365.55838084220886	0.2500190734863281
132	189.7310230731964	stim	0		30	horizontal	365.8083999156952	0.24998688697814941
132	189.96610307693481	pulse	0	t		horizontal	366.0434799194336	
133	189.98100996017456	stim	0		30	horizontal	366.05838680267334	0.25002002716064453
134	190.2310299873352	stim	0		30	horizontal	366.308406829834	0.24999094009399414
135	190.4810209274292	stim	0		30	horizontal	366.558397769928	0.24999403953552246
136	190.73101496696472	stim	0		30	horizontal	366.8083918094635	0.24993395805358887
137	190.9809489250183	stim	0		30	horizontal	367.0583257675171	0.25006103515625
137	191.081120967865	pulse	0	t		horizontal	367.15849781036377	
